iteration,set,l1_loss,psnr,ssim,lpips,file_size,elapsed
30001,test,0.058907865007456976,21.815698046433297,0.8081340287861071,0.21520751675492839,,486.2452697753906
30001,test,0.060349500836118265,21.569682045986777,0.7968393125032124,0.22724603587075282,,486.2452697753906
35000,test,0.05761868540981882,21.99629843862433,0.8094848817900607,0.2178034092250623,,111.06893157958984
