pct,seed,iteration,occurrence,psnr,ssim,lpips,l1,n_gauss,vram_alloc_mib,wall_s
0.10,0,30001,0,25.113122522830963,0.8772367369383574,0.1516651976853609,0.03105511178728193,777615,1618.4,947
0.10,0,30001,1,24.9607812166214,0.8735102582722902,0.15547636500559747,0.03156283363932744,777615,1618.4,947
0.10,0,35000,0,25.161303162574768,0.877622289583087,0.15124812489375472,0.030827936716377735,777615,1618.4,947
0.20,0,30001,0,25.113122522830963,0.8772367369383574,0.1516651976853609,0.03105511178728193,691213,1535.3,917
0.20,0,30001,1,24.575282633304596,0.8647170923650265,0.1640080022625625,0.03283455187920481,691213,1535.3,917
0.20,0,35000,0,25.142127454280853,0.8765856586396694,0.1538040628656745,0.030899861885700375,691213,1535.3,917
0.30,0,30001,0,25.113122522830963,0.8772367369383574,0.1516651976853609,0.03105511178728193,604812,1452.1,862
0.30,0,30001,1,23.962912559509277,0.8512204717844725,0.17634528642520308,0.034962309000547975,604812,1452.1,862
0.30,0,35000,0,25.097686111927032,0.8747108597308397,0.15805825009010732,0.0311164828017354,604812,1452.1,862
