pct,seed,iteration,occurrence,psnr,ssim,lpips,l1,n_gauss,vram_mib,wall_s
0.20,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,821206,1863,940
0.20,0,30001,1,21.81437783492239,0.808022401834789,0.21530316770076752,0.05891650032840277,821206,1863,940
0.20,0,35000,0,22.175684276380036,0.8134541919356898,0.21008114124599256,0.05614756900621087,821206,1863,940
0.40,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,615905,1723,855
0.40,0,30001,1,21.746344591441908,0.8048195697759327,0.21888712754375056,0.05933229389943574,615905,1723,855
0.40,0,35000,0,22.166296256215947,0.8130966001435329,0.2117311017293679,0.05620271795870442,615905,1723,855
0.50,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,513254,1683,811
0.50,0,30001,1,21.569394964920846,0.7968612077989076,0.22721000015735626,0.060350547495641206,513254,1683,811
0.50,0,35000,0,22.178654720908717,0.8118423192124617,0.21576590443912305,0.055982484041075954,513254,1683,811
0.60,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,410603,1643,750
0.60,0,30001,1,21.137943242725573,0.7787086900911833,0.24541604009113813,0.06272437957752691,410603,1643,750
0.60,0,35000,0,22.130767972845778,0.8072437314610732,0.22488316344587425,0.056430861157806295,410603,1643,750
0.70,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,307953,1643,717
0.70,0,30001,1,20.25559555856805,0.7423600821118606,0.27873227823721736,0.0677548666533671,307953,1643,717
0.70,0,35000,0,22.011847119582324,0.7956104686385707,0.24335232220197978,0.05710001157498673,307953,1643,717
0.80,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,205302,1607,703
0.80,0,30001,1,18.84379728216874,0.6810328442799417,0.3327332021374451,0.07721814924949093,205302,1607,703
0.80,0,35000,0,21.661223612333597,0.7719395741036064,0.27716118763936193,0.059051575188181896,205302,1607,703
0.90,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,102651,1585,619
0.90,0,30001,1,16.73213431709691,0.5811277000527633,0.4215386611850638,0.09677250693111043,102651,1585,619
0.90,0,35000,0,20.817700536627516,0.7164821138507441,0.34266865057380574,0.0639797110894793,102651,1585,619
0.95,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,51326,1569,594
0.95,0,30001,1,15.106632358149477,0.5063969587024889,0.4933212736719533,0.11794976439130933,51326,1569,594
0.95,0,35000,0,19.730264563309518,0.6507695129043177,0.4109006406445252,0.07150334884461604,51326,1569,594
0.50,1,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,513254,1703,910
0.50,1,30001,1,21.569509104678506,0.7968369722366333,0.22719968620099518,0.06034818159318284,513254,1703,910
0.50,1,35000,0,22.16067499863474,0.8117359029619317,0.2158126184030583,0.056295158684645824,513254,1703,910
0.50,2,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,513254,1683,942
0.50,2,30001,1,21.57066576104415,0.796859516909248,0.2272017496196847,0.060341778554414444,513254,1683,942
0.50,2,35000,0,22.207764249098926,0.8112667532343613,0.21613299925076332,0.055750301107764244,513254,1683,942
0.60,1,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,410603,1663,899
0.60,1,30001,1,21.13490867614746,0.7786514727692855,0.24550404556487734,0.06276162507894792,410603,1663,899
0.60,1,35000,0,22.113262502770674,0.8072441032058314,0.22488953526082792,0.056582073288920676,410603,1663,899
0.60,2,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,410603,1643,889
0.60,2,30001,1,21.137561798095703,0.7786727924095956,0.24545858996479133,0.0627217212887971,410603,1643,889
0.60,2,35000,0,22.176188569319873,0.8068678237889942,0.22507528450928235,0.05587089787188329,410603,1643,889
