pct,anneal,seed,iteration,occurrence,psnr,ssim,lpips,l1,n_gauss,vram_alloc_mib,wall_s
0.20,off,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,821206,1661.8,1059
0.20,off,0,30001,1,21.81436925185354,0.8080225006530158,0.21530306182409586,0.0589169692248106,821206,1661.8,1059
0.20,off,0,35000,0,22.003363232863574,0.8108004974691491,0.21265535605581182,0.05768517375384506,821206,1661.8,1059
0.50,off,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,513254,1506.9,888
0.50,off,0,30001,1,21.569682045986777,0.7968393125032124,0.22724603587075282,0.060349500836118265,513254,1506.9,888
0.50,off,0,35000,0,21.99629843862433,0.8094848817900607,0.2178034092250623,0.05761868540981882,513254,1506.9,888
0.70,off,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,307953,1458.4,784
0.70,off,0,30001,1,20.25863020043624,0.7423746852498305,0.27890995144844055,0.06773665096414716,307953,1458.4,784
0.70,off,0,35000,0,21.906847753022845,0.7941104769706726,0.24462541388837913,0.05814501579458776,307953,1458.4,784
