arm,anneal,seed,iteration,occurrence,psnr,ssim,lpips,l1,n_gauss,vram_alloc_mib,wall_s
control,off,0,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,1026508,1847.6,1056
control,off,0,35000,0,21.988998287602474,0.8105730681042922,0.21255490497538918,0.05801376680794515,1026508,1847.6,1056
control,off,1,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,1026508,1847.6,1067
control,off,1,35000,0,21.86128453204506,0.8104304483062342,0.21257689948144712,0.05917599728625071,1026508,1847.6,1067
control,off,2,30001,0,21.815698046433297,0.8081340287861071,0.21520751675492839,0.058907865007456976,1026508,1847.6,1069
control,off,2,35000,0,22.072801690352588,0.8103817105293274,0.2126122015087228,0.05723884539972794,1026508,1847.6,1069
