degree,floats,disk_b,n,mb,shrink,vram_peak_mib,wall_s,l1,psnr,ssim,lpips
3,59,62,1026508,254.573984,1.0,1079.3,87.1,0.05890786500745698,21.815698046433297,0.8081340287861071,0.21520751675492839
2,38,41,1026508,168.347312,1.5121951219512195,1079.3,85.2,0.06776318699121475,21.02032094252737,0.7941626577000869,0.22647124842593544
1,23,26,1026508,106.756832,2.3846153846153846,1079.3,87.8,0.07650967736385371,20.134545978746917,0.775596044565502,0.2415278824536424
0,14,17,1026508,69.802544,3.6470588235294117,1079.3,85.4,0.0829642828749983,19.50750988408139,0.7600886139430498,0.25374355284791245
